OrderID;RegionID;Status
<class 'int'>;<class 'int'>;<class 'str'>
10248;3;Archived
10249;3;Archived
10250;3;Archived
10251;3;Archived
10252;3;Archived
10253;3;Archived
10254;3;Archived
10255;3;Archived
10256;3;Archived
10257;3;Archived
10258;3;Archived
10259;3;Archived
10260;3;Archived
10261;3;Archived
10262;3;Archived
10263;3;Archived
10264;3;Archived
10265;3;Archived
10266;3;Archived
10267;3;Archived
10268;3;Archived
10269;3;Archived
10270;3;Archived
10271;3;Archived
10272;3;Archived
10273;3;Archived
10274;3;Archived
10275;3;Archived
10276;3;Archived
10277;3;Archived
10278;3;Archived
10279;3;Archived
10280;3;Archived
10281;3;Archived
10282;3;Archived
10283;3;Archived
10284;3;Archived
10285;3;Archived
10286;3;Archived
10287;3;Archived
10288;3;Archived
10289;3;Archived
10290;3;Archived
10291;3;Archived
10292;3;Archived
10293;3;Archived
10294;3;Archived
10295;3;Archived
10296;3;Archived
10297;3;Archived
10298;3;Archived
10299;3;Archived
10300;3;Archived
10301;3;Archived
10302;3;Archived
10303;3;Archived
10304;3;Archived
10305;3;Archived
10306;3;Archived
10307;3;Archived
10308;3;Archived
10309;3;Archived
10310;3;Archived
10311;3;Archived
10312;3;Archived
10313;3;Archived
10314;3;Archived
10315;3;Archived
10316;3;Archived
10317;3;Archived
10318;3;Archived
10319;3;Archived
10320;3;Archived
10321;3;Archived
10322;3;Archived
10323;3;Archived
10324;3;Archived
10325;3;Archived
10326;3;Archived
10327;3;Archived
10328;3;Archived
10329;3;Archived
10330;3;Archived
10331;3;Archived
10332;3;Archived
10333;3;Archived
10334;3;Archived
10335;3;Archived
10336;3;Archived
10337;3;Archived
10338;3;Archived
10339;3;Archived
10340;3;Archived
10341;3;Archived
10342;3;Archived
10343;3;Archived
10344;3;Archived
10345;3;Archived
10346;3;Archived
10347;3;Archived
10348;3;Archived
10349;3;Archived
10350;3;Archived
10351;3;Archived
10352;3;Archived
10353;3;Archived
10354;3;Archived
10355;3;Archived
10356;3;Archived
10357;3;Archived
10358;3;Archived
10359;3;Archived
10360;3;Archived
10361;3;Archived
10362;3;Archived
10363;3;Archived
10364;3;Archived
10365;3;Archived
10366;3;Archived
10367;3;Archived
10368;3;Archived
10369;3;Archived
10370;3;Archived
10371;3;Archived
10372;3;Archived
10373;3;Archived
10374;3;Archived
10375;3;Archived
10376;3;Archived
10377;3;Archived
10378;3;Archived
10379;3;Archived
10380;3;Archived
10381;3;Archived
10382;3;Archived
10383;3;Archived
10384;3;Archived
