SyncID;OrderRef;SyncStatus
<class 'int'>;<class 'int'>;<class 'str'>
807;10258;Newly_Synced
808;10259;Newly_Synced
809;10260;Newly_Synced
810;10261;Newly_Synced
811;10262;Newly_Synced
812;10263;Newly_Synced
813;10264;Newly_Synced
814;10265;Newly_Synced
815;10266;Newly_Synced
816;10267;Newly_Synced
817;10268;Newly_Synced
818;10269;Newly_Synced
819;10270;Newly_Synced
820;10271;Newly_Synced
821;10272;Newly_Synced
822;10273;Newly_Synced
823;10274;Newly_Synced
824;10275;Newly_Synced
825;10276;Newly_Synced
826;10277;Newly_Synced
827;10278;Newly_Synced
828;10279;Newly_Synced
829;10280;Newly_Synced
830;10281;Newly_Synced
831;10282;Newly_Synced
832;10283;Newly_Synced
833;10284;Newly_Synced
834;10285;Newly_Synced
835;10286;Newly_Synced
836;10287;Newly_Synced
837;10288;Newly_Synced
838;10289;Newly_Synced
839;10290;Newly_Synced
840;10291;Newly_Synced
841;10292;Newly_Synced
842;10293;Newly_Synced
843;10294;Newly_Synced
844;10295;Newly_Synced
845;10296;Newly_Synced
846;10297;Newly_Synced
847;10298;Newly_Synced
848;10299;Newly_Synced
849;10300;Newly_Synced
850;10301;Newly_Synced
851;10302;Newly_Synced
852;10303;Newly_Synced
853;10304;Newly_Synced
854;10305;Newly_Synced
855;10306;Newly_Synced
856;10307;Newly_Synced
857;10308;Newly_Synced
858;10309;Newly_Synced
859;10310;Newly_Synced
860;10311;Newly_Synced
861;10312;Newly_Synced
862;10313;Newly_Synced
863;10314;Newly_Synced
864;10315;Newly_Synced
865;10316;Newly_Synced
866;10317;Newly_Synced
867;10318;Newly_Synced
868;10319;Newly_Synced
869;10320;Newly_Synced
870;10321;Newly_Synced
871;10322;Newly_Synced
872;10323;Newly_Synced
873;10324;Newly_Synced
874;10325;Newly_Synced
875;10326;Newly_Synced
876;10327;Newly_Synced
877;10328;Newly_Synced
878;10329;Newly_Synced
879;10330;Newly_Synced
880;10331;Newly_Synced
881;10332;Newly_Synced
882;10333;Newly_Synced
883;10334;Newly_Synced
884;10335;Newly_Synced
885;10336;Newly_Synced
886;10337;Newly_Synced
887;10338;Newly_Synced
888;10339;Newly_Synced
889;10340;Newly_Synced
890;10341;Newly_Synced
891;10342;Newly_Synced
892;10343;Newly_Synced
893;10344;Newly_Synced
894;10345;Newly_Synced
895;10346;Newly_Synced
896;10347;Newly_Synced
897;10348;Newly_Synced
898;10349;Newly_Synced
899;10350;Newly_Synced
900;10351;Newly_Synced
901;10352;Newly_Synced
902;10353;Newly_Synced
903;10354;Newly_Synced
904;10355;Newly_Synced
905;10356;Newly_Synced
906;10357;Newly_Synced
907;10358;Newly_Synced
908;10359;Newly_Synced
909;10360;Newly_Synced
910;10361;Newly_Synced
911;10362;Newly_Synced
912;10363;Newly_Synced
913;10364;Newly_Synced
914;10365;Newly_Synced
915;10366;Newly_Synced
916;10367;Newly_Synced
917;10368;Newly_Synced
918;10369;Newly_Synced
919;10370;Newly_Synced
920;10371;Newly_Synced
921;10372;Newly_Synced
