ProductID;ProductName;Discontinued
<class 'int'>;<class 'str'>;<class 'bool'>
1;Chai;False
2;Chang;False
3;Aniseed Syrup;False
4;Chef Anton's Cajun Seasoning;False
5;Chef Anton's Gumbo Mix;True
6;Grandma's Boysenberry Spread;False
7;Uncle Bob's Organic Dried Pears;False
8;Northwoods Cranberry Sauce;False
9;Mishi Kobe Niku;True
10;Ikura;False
11;Queso Cabrales;False
12;Queso Manchego La Pastora;False
13;Konbu;False
14;Tofu;False
15;Genen Shouyu;False
16;Pavlova;False
17;Alice Mutton;True
18;Carnarvon Tigers;False
19;Teatime Chocolate Biscuits;False
20;Sir Rodney's Marmalade;False
21;Sir Rodney's Scones;False
22;Gustaf's Knäckebröd;False
23;Tunnbröd;False
24;Guaraná Fantástica;True
25;NuNuCa Nuß-Nougat-Creme;False
26;Gumbär Gummibärchen;False
27;Schoggi Schokolade;False
28;Rössle Sauerkraut;True
29;Thüringer Rostbratwurst;True
30;Nord-Ost Matjeshering;False
31;Gorgonzola Telino;False
32;Mascarpone Fabioli;False
33;Geitost;False
34;Sasquatch Ale;False
35;Steeleye Stout;False
36;Inlagd Sill;False
37;Gravad lax;False
38;Côte de Blaye;False
39;Chartreuse verte;False
40;Boston Crab Meat;False
41;Jack's New England Clam Chowder;False
42;Singaporean Hokkien Fried Mee;True
43;Ipoh Coffee;False
44;Gula Malacca;False
45;Rogede sild;False
46;Spegesild;False
47;Zaanse koeken;False
48;Chocolade;False
49;Maxilaku;False
50;Valkoinen suklaa;False
51;Manjimup Dried Apples;False
52;Filo Mix;False
53;Perth Pasties;True
54;Tourtiere;False
55;Pâté chinois;False
56;Gnocchi di nonna Alice;False
57;Ravioli Angelo;False
58;Escargots de Bourgogne;False
59;Raclette Courdavault;False
60;Camembert Pierrot;False
61;Sirop d'érable;False
62;Tarte au sucre;False
63;Vegie-spread;False
64;Wimmers gute Semmelknödel;False
65;Louisiana Fiery Hot Pepper Sauce;False
66;Louisiana Hot Spiced Okra;False
67;Laughing Lumberjack Lager;False
68;Scottish Longbreads;False
69;Gudbrandsdalsost;False
70;Outback Lager;False
71;Flotemysost;False
72;Mozzarella di Giovanni;False
73;Röd Kaviar;False
74;Longlife Tofu;False
75;Rhönbräu Klosterbier;False
76;Lakkalikööri;False
77;Original Frankfurter grüne Soße;False
