ArchiveID;OrderID;RegionStatus
<class 'int'>;<class 'int'>;<class 'str'>
1690;10255;Archived
1691;10258;Archived
1692;10263;Archived
1693;10267;Archived
1694;10270;Archived
1695;10277;Archived
1696;10286;Archived
1697;10294;Archived
1698;10298;Archived
1699;10303;Archived
1700;10305;Archived
1701;10316;Archived
1702;10324;Archived
1703;10329;Archived
1704;10337;Archived
1705;10340;Archived
1706;10343;Archived
1707;10345;Archived
1708;10346;Archived
1709;10351;Archived
1710;10353;Archived
1711;10359;Archived
1712;10360;Archived
1713;10361;Archived
1714;10368;Archived
1715;10369;Archived
1716;10372;Archived
1717;10373;Archived
1718;10384;Archived
1719;10390;Archived
1720;10392;Archived
1721;10393;Archived
1722;10395;Archived
1723;10396;Archived
1724;10404;Archived
1725;10406;Archived
1726;10419;Archived
1727;10424;Archived
1728;10430;Archived
1729;10436;Archived
1730;10451;Archived
1731;10452;Archived
1732;10455;Archived
1733;10458;Archived
1734;10461;Archived
1735;10465;Archived
1736;10479;Archived
1737;10490;Archived
1738;10499;Archived
1739;10510;Archived
1740;10511;Archived
1741;10513;Archived
1742;10514;Archived
1743;10515;Archived
1744;10518;Archived
1745;10524;Archived
1746;10530;Archived
1747;10533;Archived
1748;10540;Archived
1749;10546;Archived
1750;10547;Archived
1751;10549;Archived
1752;10553;Archived
