OrderID;SaleDate;Amount
<class 'int'>;<class 'str'>;<class 'decimal.Decimal'>
10808;1998-01-01 00:00:00;1660.00
10809;1998-01-01 00:00:00;140.00
10810;1998-01-01 00:00:00;187.00
10811;1998-01-02 00:00:00;852.00
10812;1998-01-02 00:00:00;1852.00
10813;1998-01-05 00:00:00;648.00
10814;1998-01-05 00:00:00;2070.00
10815;1998-01-05 00:00:00;40.00
10816;1998-01-06 00:00:00;8891.00
10817;1998-01-06 00:00:00;11490.70
10818;1998-01-07 00:00:00;833.00
10819;1998-01-07 00:00:00;477.00
10820;1998-01-07 00:00:00;1140.00
10821;1998-01-08 00:00:00;678.00
10822;1998-01-08 00:00:00;237.90
10823;1998-01-09 00:00:00;3107.50
10824;1998-01-09 00:00:00;250.80
10825;1998-01-09 00:00:00;1030.76
10826;1998-01-12 00:00:00;730.00
10827;1998-01-12 00:00:00;843.00
10828;1998-01-13 00:00:00;932.00
10829;1998-01-13 00:00:00;1764.00
10830;1998-01-13 00:00:00;1974.00
10831;1998-01-14 00:00:00;2684.40
10832;1998-01-14 00:00:00;568.95
10833;1998-01-15 00:00:00;1007.70
10834;1998-01-15 00:00:00;1508.12
10835;1998-01-15 00:00:00;851.00
10836;1998-01-16 00:00:00;4705.50
10837;1998-01-16 00:00:00;1254.00
10838;1998-01-19 00:00:00;2584.50
10839;1998-01-19 00:00:00;919.50
10840;1998-01-19 00:00:00;264.00
10841;1998-01-20 00:00:00;4581.00
10842;1998-01-20 00:00:00;975.00
10843;1998-01-21 00:00:00;212.00
10844;1998-01-21 00:00:00;735.00
10845;1998-01-21 00:00:00;4059.00
10846;1998-01-22 00:00:00;1112.00
10847;1998-01-22 00:00:00;6164.90
10848;1998-01-23 00:00:00;931.50
10849;1998-01-23 00:00:00;1052.14
10850;1998-01-23 00:00:00;740.00
10851;1998-01-26 00:00:00;2740.00
10852;1998-01-26 00:00:00;2984.00
10853;1998-01-27 00:00:00;625.00
10854;1998-01-27 00:00:00;3490.00
10855;1998-01-27 00:00:00;2275.25
10856;1998-01-28 00:00:00;660.00
10857;1998-01-28 00:00:00;2630.95
10858;1998-01-29 00:00:00;649.00
10859;1998-01-29 00:00:00;1438.25
10860;1998-01-29 00:00:00;519.00
10861;1998-01-30 00:00:00;3523.40
10862;1998-01-30 00:00:00;581.00
