DiscountID;OriginalProductID;FinalPrice
<class 'int'>;<class 'int'>;<class 'decimal.Decimal'>
2700;1;16.20
2701;2;17.10
2702;3;9.50
2703;4;20.90
2704;6;23.75
2705;8;38.00
2706;15;14.73
2707;16;13.96
2708;19;7.36
2709;20;64.80
2710;21;8.00
2711;25;11.20
2712;26;24.98
2713;27;35.12
2714;34;12.60
2715;35;16.20
2716;38;237.15
2717;39;16.20
2718;43;41.40
2719;44;18.48
2720;47;7.60
2721;48;10.20
2722;49;16.00
2723;50;13.00
2724;61;27.08
2725;62;39.44
2726;63;41.71
2727;65;20.00
2728;66;16.15
2729;67;12.60
2730;68;10.00
2731;70;13.50
2732;75;6.98
2733;76;16.20
2734;77;12.35
