BufferID;OriginalOrderID;SourceSystem
<class 'int'>;<class 'int'>;<class 'str'>
807;10258;Northwind_Incremental
808;10259;Northwind_Incremental
809;10260;Northwind_Incremental
810;10261;Northwind_Incremental
811;10262;Northwind_Incremental
812;10263;Northwind_Incremental
813;10264;Northwind_Incremental
814;10265;Northwind_Incremental
815;10266;Northwind_Incremental
816;10267;Northwind_Incremental
817;10268;Northwind_Incremental
818;10269;Northwind_Incremental
819;10270;Northwind_Incremental
820;10271;Northwind_Incremental
821;10272;Northwind_Incremental
822;10273;Northwind_Incremental
823;10274;Northwind_Incremental
824;10275;Northwind_Incremental
825;10276;Northwind_Incremental
826;10277;Northwind_Incremental
827;10278;Northwind_Incremental
828;10279;Northwind_Incremental
829;10280;Northwind_Incremental
830;10281;Northwind_Incremental
831;10282;Northwind_Incremental
832;10283;Northwind_Incremental
833;10284;Northwind_Incremental
834;10285;Northwind_Incremental
835;10286;Northwind_Incremental
836;10287;Northwind_Incremental
837;10288;Northwind_Incremental
838;10289;Northwind_Incremental
839;10290;Northwind_Incremental
840;10291;Northwind_Incremental
841;10292;Northwind_Incremental
842;10293;Northwind_Incremental
843;10294;Northwind_Incremental
844;10295;Northwind_Incremental
845;10296;Northwind_Incremental
846;10297;Northwind_Incremental
847;10298;Northwind_Incremental
848;10299;Northwind_Incremental
849;10300;Northwind_Incremental
850;10301;Northwind_Incremental
851;10302;Northwind_Incremental
852;10303;Northwind_Incremental
853;10304;Northwind_Incremental
854;10305;Northwind_Incremental
855;10306;Northwind_Incremental
856;10307;Northwind_Incremental
857;10308;Northwind_Incremental
858;10309;Northwind_Incremental
859;10310;Northwind_Incremental
860;10311;Northwind_Incremental
861;10312;Northwind_Incremental
862;10313;Northwind_Incremental
863;10314;Northwind_Incremental
864;10315;Northwind_Incremental
865;10316;Northwind_Incremental
866;10317;Northwind_Incremental
867;10318;Northwind_Incremental
868;10319;Northwind_Incremental
869;10320;Northwind_Incremental
870;10321;Northwind_Incremental
871;10322;Northwind_Incremental
872;10323;Northwind_Incremental
873;10324;Northwind_Incremental
874;10325;Northwind_Incremental
875;10326;Northwind_Incremental
876;10327;Northwind_Incremental
877;10328;Northwind_Incremental
878;10329;Northwind_Incremental
879;10330;Northwind_Incremental
880;10331;Northwind_Incremental
881;10332;Northwind_Incremental
882;10333;Northwind_Incremental
883;10334;Northwind_Incremental
884;10335;Northwind_Incremental
885;10336;Northwind_Incremental
886;10337;Northwind_Incremental
887;10338;Northwind_Incremental
888;10339;Northwind_Incremental
889;10340;Northwind_Incremental
890;10341;Northwind_Incremental
891;10342;Northwind_Incremental
892;10343;Northwind_Incremental
893;10344;Northwind_Incremental
894;10345;Northwind_Incremental
895;10346;Northwind_Incremental
896;10347;Northwind_Incremental
897;10348;Northwind_Incremental
898;10349;Northwind_Incremental
899;10350;Northwind_Incremental
900;10351;Northwind_Incremental
901;10352;Northwind_Incremental
902;10353;Northwind_Incremental
903;10354;Northwind_Incremental
904;10355;Northwind_Incremental
905;10356;Northwind_Incremental
906;10357;Northwind_Incremental
907;10358;Northwind_Incremental
908;10359;Northwind_Incremental
909;10360;Northwind_Incremental
910;10361;Northwind_Incremental
911;10362;Northwind_Incremental
912;10363;Northwind_Incremental
913;10364;Northwind_Incremental
914;10365;Northwind_Incremental
915;10366;Northwind_Incremental
916;10367;Northwind_Incremental
917;10368;Northwind_Incremental
918;10369;Northwind_Incremental
919;10370;Northwind_Incremental
920;10371;Northwind_Incremental
921;10372;Northwind_Incremental
922;10373;Northwind_Incremental
923;10374;Northwind_Incremental
924;10375;Northwind_Incremental
925;10376;Northwind_Incremental
